Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:AB:37:6D:6A:E4, 2018-05-31 10:07:13, 2018-05-31 10:07:13,  -1,        5, 00:26:CB:A1:A1:02,
94:0E:6B:DA:6A:78, 2018-05-31 10:06:52, 2018-05-31 10:07:13,  -1,       38, 58:BC:27:12:79:90,
B0:19:C6:D5:C8:B5, 2018-05-31 09:53:40, 2018-05-31 10:07:14, -53,       82, 00:27:0D:07:51:22,PSU Secure
14:56:8E:DC:E0:14, 2018-05-31 09:58:08, 2018-05-31 10:07:11, -58,       17, 00:26:CB:AA:E4:42,
40:9C:28:19:4B:15, 2018-05-31 10:07:09, 2018-05-31 10:07:11, -74,        7, 00:27:0D:5E:5D:C2,PSU Secure
98:22:EF:FF:A5:03, 2018-05-31 09:59:36, 2018-05-31 10:07:11, -74,       10, (not associated) ,PSU
06:03:D6:8E:9C:68, 2018-05-31 09:58:26, 2018-05-31 10:07:03, -70,       30, (not associated) ,Nintendo_3DS_continuous_scan_000
AC:81:12:47:3C:50, 2018-05-31 09:43:22, 2018-05-31 10:07:02, -74,       17, 00:26:CB:AB:0A:30,
58:3F:54:F2:CD:7E, 2018-05-31 09:44:26, 2018-05-31 10:06:59, -77,       80, (not associated) ,
7E:0E:15:E7:52:30, 2018-05-31 10:06:52, 2018-05-31 10:06:52, -51,        1, (not associated) ,
0E:F5:41:EF:5F:50, 2018-05-31 10:06:48, 2018-05-31 10:06:48, -74,        1, (not associated) ,
88:C9:D0:D8:43:D9, 2018-05-31 09:47:08, 2018-05-31 10:06:48, -75,       33, 00:26:CB:AA:DF:40,
1E:46:9B:E2:91:23, 2018-05-31 10:06:51, 2018-05-31 10:06:51, -77,        1, (not associated) ,TMobileWingman
F8:27:93:99:1F:9B, 2018-05-31 09:47:03, 2018-05-31 10:06:50, -83,       23, 00:26:CB:AA:DF:40,
90:60:F1:B8:48:64, 2018-05-31 09:57:25, 2018-05-31 10:06:48, -85,       17, 58:BC:27:12:6D:12,PSU
32:10:FC:24:E7:1E, 2018-05-31 10:06:49, 2018-05-31 10:06:49, -86,        1, (not associated) ,
D4:61:9D:95:40:3B, 2018-05-31 10:02:31, 2018-05-31 10:06:37, -62,       94, 00:26:CB:AA:E4:42,PSU Secure
BC:9F:EF:DF:DA:81, 2018-05-31 09:43:33, 2018-05-31 10:06:37, -81,       44, 00:27:0D:07:54:10,PSU
98:CA:33:E6:BD:F8, 2018-05-31 10:06:00, 2018-05-31 10:06:23, -61,       14, 20:BB:C0:F8:DB:42,PSU Secure
40:4E:36:21:B6:86, 2018-05-31 09:56:59, 2018-05-31 10:06:27, -68,       16, 00:26:CB:A1:A1:02,
D0:C5:F3:04:AB:32, 2018-05-31 10:06:20, 2018-05-31 10:06:27, -84,       20, 00:27:0D:07:51:22,
88:66:A5:6B:97:0F, 2018-05-31 09:57:25, 2018-05-31 10:06:12, -58,       93, 00:26:CB:AB:0A:32,PSU,PSU Secure
