Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
4C:18:9A:5E:39:35, 2018-05-31 10:20:48, 2018-05-31 10:42:05, -55,       35, (not associated) ,PSU,8610
DA:A1:19:44:86:3A, 2018-05-31 10:42:05, 2018-05-31 10:42:05, -57,        1, (not associated) ,
0E:4C:2D:64:DB:6B, 2018-05-31 10:42:06, 2018-05-31 10:42:06, -64,        3, (not associated) ,
DA:A1:19:2C:5F:6B, 2018-05-31 10:42:09, 2018-05-31 10:42:09, -71,       11, (not associated) ,
02:2F:42:BB:84:63, 2018-05-31 10:42:05, 2018-05-31 10:42:05, -71,        4, (not associated) ,
D0:04:01:36:6F:B1, 2018-05-31 10:40:51, 2018-05-31 10:42:05, -79,       15, (not associated) ,
72:B4:DF:BE:07:A8, 2018-05-31 10:25:41, 2018-05-31 10:42:09, -84,       15, (not associated) ,
BA:47:74:6B:0E:63, 2018-05-31 10:42:07, 2018-05-31 10:42:07, -85,        2, (not associated) ,
68:C4:4D:B9:6D:C4, 2018-05-31 10:42:08, 2018-05-31 10:42:08, -86,        1, (not associated) ,
02:DB:9D:0C:2F:C9, 2018-05-31 10:42:05, 2018-05-31 10:42:05, -86,        3, (not associated) ,
7E:85:99:E7:FB:37, 2018-05-31 10:41:56, 2018-05-31 10:41:56, -68,        2, (not associated) ,
FC:DB:B3:4B:BD:BF, 2018-05-31 10:23:46, 2018-05-31 10:41:55, -69,       19, C0:62:6B:67:65:20,
C8:3C:85:B2:A0:6F, 2018-05-31 10:41:56, 2018-05-31 10:41:56, -78,       18, 04:C5:A4:C2:8B:42,
8C:79:67:A5:36:1C, 2018-05-31 10:37:01, 2018-05-31 10:41:55, -85,       38, 58:BC:27:12:66:F0,
DA:A1:19:31:0B:73, 2018-05-31 10:41:58, 2018-05-31 10:41:58, -86,        1, (not associated) ,
7A:BC:CC:AF:03:F3, 2018-05-31 10:41:56, 2018-05-31 10:41:56, -86,        1, (not associated) ,
8C:8E:F2:D5:FC:AA, 2018-05-31 10:41:58, 2018-05-31 10:41:58, -88,        1, (not associated) ,PSU Secure
E6:A4:B3:76:6A:A7, 2018-05-31 10:41:42, 2018-05-31 10:41:42, -81,        2, (not associated) ,
5E:87:7D:18:3D:7D, 2018-05-31 10:41:42, 2018-05-31 10:41:42, -85,        2, (not associated) ,
4C:57:CA:7E:DC:6F, 2018-05-31 10:41:06, 2018-05-31 10:41:45, -87,       19, 58:BC:27:12:66:F0,PSU
94:53:30:C7:99:2E, 2018-05-31 10:29:34, 2018-05-31 10:41:44, -87,        9, 04:C5:A4:66:8F:52,
DA:A1:19:1B:87:BF, 2018-05-31 10:41:31, 2018-05-31 10:41:31, -75,        1, (not associated) ,
DA:A1:19:17:95:B4, 2018-05-31 10:41:32, 2018-05-31 10:41:32, -78,        2, (not associated) ,
AC:BC:32:C9:F5:AB, 2018-05-31 10:41:05, 2018-05-31 10:41:34, -80,       24, 04:C5:A4:C2:8B:40,PSU
DA:A1:19:DF:D9:C4, 2018-05-31 10:41:31, 2018-05-31 10:41:31, -85,        1, (not associated) ,
26:2F:F9:0D:F9:D2, 2018-05-31 10:41:29, 2018-05-31 10:41:29, -86,        1, (not associated) ,
4E:CF:62:AC:E9:09, 2018-05-31 10:41:30, 2018-05-31 10:41:30, -88,        1, (not associated) ,
B6:F6:A7:07:1D:DC, 2018-05-31 10:41:20, 2018-05-31 10:41:20, -57,        3, (not associated) ,
06:FD:1B:EA:C6:95, 2018-05-31 10:41:19, 2018-05-31 10:41:19, -65,        2, (not associated) ,
F2:AA:F6:12:AB:76, 2018-05-31 10:41:19, 2018-05-31 10:41:19, -66,        1, (not associated) ,
6A:62:1A:57:D8:B5, 2018-05-31 10:41:20, 2018-05-31 10:41:20, -67,        2, (not associated) ,
12:09:60:50:B8:6B, 2018-05-31 10:41:18, 2018-05-31 10:41:22, -76,        2, (not associated) ,
E2:2B:FD:47:F2:26, 2018-05-31 10:31:20, 2018-05-31 10:41:21, -88,        4, (not associated) ,PSU Guest
68:C4:4D:54:08:3B, 2018-05-31 10:41:06, 2018-05-31 10:41:06, -64,        1, (not associated) ,
4C:7C:5F:31:C9:15, 2018-05-31 10:25:20, 2018-05-31 10:41:05, -67,        8, (not associated) ,
68:C4:4D:B0:64:97, 2018-05-31 10:41:07, 2018-05-31 10:41:07, -68,        2, (not associated) ,
68:C4:4D:E8:9C:CF, 2018-05-31 10:41:06, 2018-05-31 10:41:07, -69,        2, (not associated) ,
6E:3C:85:9A:52:9C, 2018-05-31 10:41:05, 2018-05-31 10:41:05, -76,        3, (not associated) ,
68:C4:4D:13:C7:FA, 2018-05-31 10:41:06, 2018-05-31 10:41:06, -77,        1, (not associated) ,
14:9F:3C:08:CA:C1, 2018-05-31 10:28:57, 2018-05-31 10:41:09, -81,      285, 50:17:FF:9E:61:12,PSU Secure
46:F7:CA:62:8B:51, 2018-05-31 10:41:07, 2018-05-31 10:41:07, -84,        1, (not associated) ,
BA:69:3D:CC:5A:0A, 2018-05-31 10:41:03, 2018-05-31 10:41:08, -84,        6, (not associated) ,ThousandSunny
DA:A1:19:4C:00:B4, 2018-05-31 10:41:10, 2018-05-31 10:41:10, -89,        1, (not associated) ,
D2:5E:85:E0:83:95, 2018-05-31 10:40:53, 2018-05-31 10:40:53, -60,        1, (not associated) ,
