Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
54:27:1E:1E:2D:A2, 2018-05-24 19:33:50, 2018-05-24 19:57:50, -61,      144, C0:25:5C:60:BA:32,PSU Secure
D0:A6:37:E6:0C:66, 2018-05-24 19:33:18, 2018-05-24 19:58:54, -62,       79, 58:BC:27:12:66:F0,
FC:D8:48:76:E7:86, 2018-05-24 19:36:31, 2018-05-24 19:57:47, -77,       17, F4:1F:C2:BE:9D:F0,PSU
5C:70:A3:49:9A:A0, 2018-05-24 19:57:48, 2018-05-24 19:57:48, -85,        1, (not associated) ,
14:AB:C5:31:AC:9A, 2018-05-24 19:33:13, 2018-05-24 19:57:47, -86,       38, (not associated) ,
00:DB:70:3D:D4:50, 2018-05-24 19:57:30, 2018-05-24 19:57:36, -74,        7, (not associated) ,PSU
BA:E0:10:C5:E2:B1, 2018-05-24 19:57:38, 2018-05-24 19:57:38, -89,        2, (not associated) ,TMobileWingman
DA:A1:19:31:AE:88, 2018-05-24 19:57:25, 2018-05-24 19:57:26, -59,        4, (not associated) ,
14:2D:27:A6:42:45, 2018-05-24 19:33:22, 2018-05-24 19:57:22, -60,       94, C0:25:5C:78:58:22,
DC:A9:04:3D:37:B2, 2018-05-24 19:33:37, 2018-05-24 19:57:25, -78,       19, 04:C5:A4:C2:8F:E2,PSU Secure
E4:2B:34:71:4B:63, 2018-05-24 19:39:59, 2018-05-24 19:57:25, -84,       55, 04:C5:A4:C2:8F:E0,PSU
E8:4E:06:3D:EE:A0, 2018-05-24 19:36:28, 2018-05-24 19:57:26, -84,       10, (not associated) ,
5A:D2:08:A2:51:15, 2018-05-24 19:57:11, 2018-05-24 19:57:11, -43,        3, (not associated) ,
98:00:C6:4D:52:51, 2018-05-24 19:57:14, 2018-05-24 19:57:14, -72,        2, 04:C5:A4:C2:8F:E2,
C4:B3:01:9F:88:76, 2018-05-24 19:56:47, 2018-05-24 19:57:10, -75,       11, (not associated) ,PSU
76:30:6E:7D:E1:3D, 2018-05-24 19:57:09, 2018-05-24 19:57:10, -81,        4, (not associated) ,
66:E4:26:2C:60:A9, 2018-05-24 19:57:00, 2018-05-24 19:57:00, -41,        3, (not associated) ,
FC:42:03:BD:39:92, 2018-05-24 19:41:30, 2018-05-24 19:57:02, -55,       39, (not associated) ,
48:3B:38:17:9C:A5, 2018-05-24 19:33:18, 2018-05-24 19:57:00, -75,       23, D0:57:4C:09:C1:C2,PSU Secure
92:6D:5C:75:AA:56, 2018-05-24 19:56:59, 2018-05-24 19:56:59, -90,        1, (not associated) ,
66:13:EB:0C:9C:71, 2018-05-24 19:56:49, 2018-05-24 19:56:49, -42,        2, (not associated) ,
D2:71:2C:7C:66:0D, 2018-05-24 19:56:45, 2018-05-24 19:56:45, -42,        2, (not associated) ,
B4:AE:2B:29:60:0B, 2018-05-24 19:36:46, 2018-05-24 19:56:45, -63,      155, 7C:95:F3:CC:B3:A2,
BC:54:36:ED:44:97, 2018-05-24 19:56:31, 2018-05-24 19:56:45, -85,        6, C0:62:6B:67:63:30,
9A:8A:AC:44:CF:3E, 2018-05-24 19:56:46, 2018-05-24 19:56:46, -87,        1, (not associated) ,
88:B4:A6:04:8B:CB, 2018-05-24 19:36:53, 2018-05-24 19:56:45, -90,        6, 7C:95:F3:CC:B5:92,
AE:BA:48:4E:B2:66, 2018-05-24 19:56:38, 2018-05-24 19:56:38, -41,        3, (not associated) ,
0E:26:32:CA:1D:55, 2018-05-24 19:56:33, 2018-05-24 19:56:33, -41,        6, (not associated) ,
1E:F0:D7:CD:64:4D, 2018-05-24 19:56:34, 2018-05-24 19:56:34, -65,        1, (not associated) ,
30:F7:C5:51:4C:E7, 2018-05-24 19:42:29, 2018-05-24 19:56:36, -73,       11, 7C:95:F3:CC:B3:A0,PSU
08:E6:89:3C:96:EA, 2018-05-24 19:47:19, 2018-05-24 19:56:34, -79,       16, (not associated) ,PSU
6E:6A:70:D2:D5:26, 2018-05-24 19:54:19, 2018-05-24 19:56:35, -82,        3, (not associated) ,
