Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
CC:08:8D:AC:F5:8C, 2018-05-29 19:11:42, 2018-05-29 19:34:54, -60,      134, 84:3D:C6:12:05:82,PSU Secure
6C:4D:73:EB:9A:65, 2018-05-29 19:34:36, 2018-05-29 19:34:56, -88,        2, (not associated) ,PSU
56:BD:53:FE:1A:57, 2018-05-29 19:34:44, 2018-05-29 19:34:44, -55,        2, (not associated) ,
7C:04:D0:46:CE:E7, 2018-05-29 19:20:45, 2018-05-29 19:34:40, -65,      149, 84:3D:C6:43:C4:DF,OFD_HS2,PSU
A6:D1:94:DA:A6:A5, 2018-05-29 19:31:45, 2018-05-29 19:34:40, -68,       22, 00:25:00:FF:94:73,
20:EE:28:A6:B3:40, 2018-05-29 19:12:00, 2018-05-29 19:34:40, -75,        4, 84:3D:C6:43:C1:EF,
7C:B0:C2:B7:9E:13, 2018-05-29 19:17:53, 2018-05-29 19:34:44, -80,       26, 84:3D:C6:46:9C:72,PSU Secure
D0:C5:F3:31:99:DD, 2018-05-29 19:31:10, 2018-05-29 19:34:40, -81,       74, 84:3D:C6:46:46:00,PSU
A4:D1:8C:C8:65:DA, 2018-05-29 19:20:30, 2018-05-29 19:34:30, -66,       29, 84:3D:C6:25:2C:80,PSU
F0:DC:E2:1B:3B:63, 2018-05-29 19:30:41, 2018-05-29 19:34:28, -69,        4, (not associated) ,
E0:94:67:85:46:2A, 2018-05-29 19:11:08, 2018-05-29 19:34:31, -70,       23, 84:3D:C6:43:C2:00,WPATubez,PSU
18:5E:0F:81:6F:9B, 2018-05-29 19:11:57, 2018-05-29 19:34:33, -72,       96, (not associated) ,PSU Secure
E6:D2:BB:2D:DD:39, 2018-05-29 19:34:12, 2018-05-29 19:34:19, -65,        5, (not associated) ,
28:CF:E9:62:5E:35, 2018-05-29 19:10:58, 2018-05-29 19:34:19, -68,       58, 84:3D:C6:4E:D7:71,
7A:AD:53:F4:CC:3C, 2018-05-29 19:34:17, 2018-05-29 19:34:17, -75,        1, (not associated) ,
FC:65:DE:5E:11:06, 2018-05-29 19:34:18, 2018-05-29 19:34:18, -85,        2, (not associated) ,
3C:2E:FF:C8:2E:D8, 2018-05-29 19:16:55, 2018-05-29 19:34:09, -72,       24, 84:3D:C6:12:05:82,PSU Secure
7A:4D:F5:36:08:78, 2018-05-29 19:34:04, 2018-05-29 19:34:04, -76,        1, (not associated) ,
D0:25:98:40:98:A5, 2018-05-29 19:11:20, 2018-05-29 19:34:09, -77,     1363, 84:3D:C6:5C:85:11,PSU Guest
3E:5D:53:F8:15:54, 2018-05-29 19:34:04, 2018-05-29 19:34:04, -80,        1, (not associated) ,
12:23:AF:88:E1:29, 2018-05-29 19:34:08, 2018-05-29 19:34:08, -82,        1, (not associated) ,
8C:85:90:CB:3A:E0, 2018-05-29 19:26:06, 2018-05-29 19:34:09, -83,       23, (not associated) ,INFINITUM4a85,BLV2DNZ,La Provence-Guest,bjclcg-2.4,Vinotopia Public,CarriesGoPro,HOME-3FA8-5,ImaGetChu,Don't Even Tri-Fi,Harlow
24:5B:A7:1F:A2:89, 2018-05-29 19:34:05, 2018-05-29 19:34:05, -89,        1, (not associated) ,PSU Secure
DC:0C:5C:A0:90:4C, 2018-05-29 19:11:31, 2018-05-29 19:33:54, -59,       21, 84:3D:C6:12:05:80,PSU
E2:5A:B2:A1:52:B6, 2018-05-29 19:33:44, 2018-05-29 19:33:52, -62,        8, (not associated) ,
22:6F:99:66:85:34, 2018-05-29 19:33:54, 2018-05-29 19:33:54, -63,        2, (not associated) ,
E2:90:F7:F9:74:A2, 2018-05-29 19:33:56, 2018-05-29 19:33:56, -65,        1, (not associated) ,
DC:41:5F:74:1C:57, 2018-05-29 19:14:22, 2018-05-29 19:33:57, -71,       17, 84:3D:C6:4E:B5:D2,PSU Secure
98:10:E8:90:4F:6A, 2018-05-29 19:13:40, 2018-05-29 19:33:54, -78,       17, 84:3D:C6:46:B3:52,PSU Secure
C2:33:21:27:33:FA, 2018-05-29 19:33:56, 2018-05-29 19:33:56, -81,        1, (not associated) ,
F8:62:14:49:0A:06, 2018-05-29 19:33:52, 2018-05-29 19:33:52, -83,        4, 84:3D:C6:4F:37:CF,
30:35:AD:6D:EC:4E, 2018-05-29 19:12:56, 2018-05-29 19:33:52, -83,        2, (not associated) ,PSU
A4:70:D6:A8:77:AF, 2018-05-29 19:12:47, 2018-05-29 19:33:53, -90,        8, (not associated) ,
F2:B2:8F:26:14:A5, 2018-05-29 19:33:43, 2018-05-29 19:33:43, -79,        1, (not associated) ,
FE:EC:48:7A:C2:AD, 2018-05-29 19:32:47, 2018-05-29 19:33:32, -53,        4, (not associated) ,
2C:F0:A2:11:35:DC, 2018-05-29 19:28:35, 2018-05-29 19:33:29, -78,       64, 84:3D:C6:25:3C:A2,
72:BC:EC:AD:1A:BA, 2018-05-29 19:33:33, 2018-05-29 19:33:33, -79,        1, (not associated) ,
A8:B8:6E:3B:5A:97, 2018-05-29 19:30:37, 2018-05-29 19:33:29, -80,       64, (not associated) ,
26:EC:48:17:E6:5B, 2018-05-29 19:33:28, 2018-05-29 19:33:28, -82,        1, (not associated) ,
C6:6D:09:27:B0:11, 2018-05-29 19:33:28, 2018-05-29 19:33:28, -84,        1, (not associated) ,
40:4E:36:8D:F1:B4, 2018-05-29 19:14:05, 2018-05-29 19:33:28, -87,       13, (not associated) ,cnwipdx
76:69:95:A2:0E:C5, 2018-05-29 19:32:32, 2018-05-29 19:33:17, -58,        4, (not associated) ,
06:FA:09:E6:2A:B9, 2018-05-29 19:33:18, 2018-05-29 19:33:18, -80,        1, (not associated) ,
E0:AC:CB:5F:C6:A8, 2018-05-29 19:11:45, 2018-05-29 19:33:18, -81,      102, 84:3D:C6:12:0A:00,
B8:8A:60:B5:6B:0C, 2018-05-29 19:33:18, 2018-05-29 19:33:18, -83,        2, (not associated) ,PSU Secure
A6:D4:EA:7D:76:AD, 2018-05-29 19:33:07, 2018-05-29 19:33:07, -64,        5, (not associated) ,
D0:D2:B0:6E:DB:CD, 2018-05-29 19:32:52, 2018-05-29 19:33:07, -75,      344, 00:00:00:00:00:00,
9C:4F:CF:2A:80:1C, 2018-05-29 19:31:59, 2018-05-29 19:33:04, -76,       16, 84:3D:C6:4E:D9:B2,
AC:BC:32:D1:71:83, 2018-05-29 19:22:32, 2018-05-29 19:33:09, -83,        7, (not associated) ,
A6:DD:AB:EB:0A:A3, 2018-05-29 19:33:05, 2018-05-29 19:33:05, -85,        1, (not associated) ,
5C:96:9D:88:95:15, 2018-05-29 19:23:15, 2018-05-29 19:32:52, -69,        9, (not associated) ,PSU Guest
0A:22:5F:5A:32:21, 2018-05-29 19:32:52, 2018-05-29 19:32:52, -71,        5, (not associated) ,
DA:1E:43:C2:12:9A, 2018-05-29 19:32:57, 2018-05-29 19:32:57, -72,        1, (not associated) ,TMobileWingman
3C:2E:F9:07:DC:A2, 2018-05-29 19:19:37, 2018-05-29 19:35:58, -89,       71, 00:00:00:00:00:00,PSU
C6:52:A7:60:F2:60, 2018-05-29 19:32:44, 2018-05-29 19:32:44, -71,        1, (not associated) ,
