Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C4:B3:01:B7:64:F3, 2018-05-24 14:23:58, 2018-05-24 14:43:00, -56,       10, (not associated) ,
CC:08:8D:50:EA:73, 2018-05-24 14:21:30, 2018-05-24 14:43:02, -59,       35, 40:CE:24:9B:F3:8F,
82:41:78:39:F0:33, 2018-05-24 14:43:01, 2018-05-24 14:43:01, -81,        1, (not associated) ,
AC:D1:B8:CC:BF:D9, 2018-05-24 14:18:59, 2018-05-24 14:43:03, -81,        3, 50:17:FF:9E:00:D2,
5A:E1:21:A3:6F:DC, 2018-05-24 14:43:03, 2018-05-24 14:43:03, -88,        1, (not associated) ,
96:28:2E:FE:68:9D, 2018-05-24 14:42:49, 2018-05-24 14:42:49, -72,        1, (not associated) ,
92:D3:75:64:28:2B, 2018-05-24 14:42:49, 2018-05-24 14:42:49, -75,        2, (not associated) ,
62:AE:8C:72:CD:E8, 2018-05-24 14:42:49, 2018-05-24 14:42:49, -89,        1, (not associated) ,
98:5F:D3:5D:7A:DD, 2018-05-24 14:19:02, 2018-05-24 14:42:35,  -1,      216, 50:17:FF:9E:61:12,
D0:04:01:9D:45:FC, 2018-05-24 14:19:00, 2018-05-24 14:42:40, -60,      132, (not associated) ,
EC:1D:7F:EB:D3:8A, 2018-05-24 14:19:10, 2018-05-24 14:42:28, -81,        9, 7C:95:F3:CC:B5:81,
CC:61:E5:1F:9F:29, 2018-05-24 14:22:08, 2018-05-24 14:42:26, -82,       66, (not associated) ,
B0:48:7A:CF:78:AE, 2018-05-24 14:42:27, 2018-05-24 14:42:27, -95,        1, (not associated) ,PSU
38:D4:0B:25:A2:5E, 2018-05-24 14:20:40, 2018-05-24 14:42:13, -54,       40, (not associated) ,
60:FE:C5:A9:13:99, 2018-05-24 14:41:32, 2018-05-24 14:42:16, -73,        7, 04:C5:A4:C2:8B:42,PSU Secure
00:24:D7:54:02:40, 2018-05-24 14:18:59, 2018-05-24 14:42:13, -81,       73, (not associated) ,
DC:A9:04:3D:37:B2, 2018-05-24 14:32:59, 2018-05-24 14:42:16, -84,       65, 04:C5:A4:C2:8F:A2,PSU Secure
AC:BC:32:D4:A8:BF, 2018-05-24 14:19:19, 2018-05-24 14:42:13, -92,       19, (not associated) ,Target Guest Wi-Fi,SiegelSuites-Cambridge-Cox-5G,Einstein Bros Bagels
92:17:9F:66:51:3C, 2018-05-24 14:41:59, 2018-05-24 14:41:59, -70,        1, (not associated) ,
E2:2B:FD:47:F2:26, 2018-05-24 14:19:12, 2018-05-24 14:42:02, -73,       24, (not associated) ,PSU Guest
DC:74:A8:D7:31:3D, 2018-05-24 14:20:29, 2018-05-24 14:42:03, -74,       44, (not associated) ,
