Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F4:F5:24:58:C0:85, 2018-05-24 20:42:24, 2018-05-24 20:42:24, -65,        2, (not associated) ,
C2:F4:90:4E:1B:1E, 2018-05-24 20:42:24, 2018-05-24 20:42:24, -71,        3, (not associated) ,Google Starbucks
EE:E0:14:9D:68:4C, 2018-05-24 20:42:25, 2018-05-24 20:42:25, -79,        2, (not associated) ,
F8:CF:C5:3E:46:F3, 2018-05-24 20:22:43, 2018-05-24 20:42:10,  -1,       14, 00:27:0D:07:51:22,
8A:4D:1C:07:57:B1, 2018-05-24 20:42:14, 2018-05-24 20:42:14, -76,        2, (not associated) ,
96:43:A8:FF:2A:2F, 2018-05-24 20:42:03, 2018-05-24 20:42:03, -82,        1, (not associated) ,
A6:3A:4B:EF:6F:81, 2018-05-24 20:42:02, 2018-05-24 20:42:02, -86,        1, (not associated) ,TMobileWingman
5C:F8:A1:8F:87:90, 2018-05-24 20:36:18, 2018-05-24 20:41:48,  -1,       84, 00:27:0D:30:46:B0,
58:40:4E:44:BB:A1, 2018-05-24 20:40:36, 2018-05-24 20:41:48, -72,       18, 00:26:CB:AB:0A:32,PSU Secure
E6:5A:24:BF:91:BD, 2018-05-24 20:41:51, 2018-05-24 20:41:51, -76,        1, (not associated) ,
AC:37:43:47:20:C2, 2018-05-24 20:41:30, 2018-05-24 20:41:34, -55,       13, 00:26:CB:AB:0A:3E,PSU Guest
36:EA:EF:FA:25:C2, 2018-05-24 20:41:39, 2018-05-24 20:41:39, -62,        2, (not associated) ,
36:2D:A7:B2:5E:D6, 2018-05-24 20:41:34, 2018-05-24 20:41:34, -67,        4, (not associated) ,
F4:F5:24:7F:E5:FF, 2018-05-24 20:38:17, 2018-05-24 20:43:29, -58,        5, 00:26:CB:A1:A1:02,PSU Secure
94:B1:0A:BE:06:D2, 2018-05-24 20:18:00, 2018-05-24 20:41:38, -82,       12, 00:1C:10:9E:51:33,
28:A0:2B:AC:5E:BB, 2018-05-24 20:39:43, 2018-05-24 20:41:38, -86,       27, 00:26:CB:AA:E4:40,PSU
CE:C7:79:12:30:F7, 2018-05-24 20:41:27, 2018-05-24 20:41:27, -61,        2, (not associated) ,
32:A1:D7:A8:96:C1, 2018-05-24 20:41:22, 2018-05-24 20:41:23, -62,        2, (not associated) ,
2C:0E:3D:BB:1E:B3, 2018-05-24 20:17:52, 2018-05-24 20:41:27, -73,       51, 00:26:CB:AA:DF:42,WPATubez,attwifi
78:FD:94:28:1A:D1, 2018-05-24 20:39:21, 2018-05-24 20:41:27, -82,       24, 00:26:CB:AB:0A:32,
90:E7:C4:66:10:06, 2018-05-24 20:34:07, 2018-05-24 20:41:24, -84,       21, 00:26:CB:AA:DE:32,PSU Secure
48:D7:05:C1:A1:45, 2018-05-24 20:41:10, 2018-05-24 20:41:10, -63,        5, (not associated) ,
62:C3:FE:73:27:DE, 2018-05-24 20:41:14, 2018-05-24 20:41:15, -68,        5, (not associated) ,
42:33:B0:4A:26:3B, 2018-05-24 20:41:10, 2018-05-24 20:41:10, -68,        3, (not associated) ,
2E:9F:8F:52:26:B0, 2018-05-24 20:41:12, 2018-05-24 20:41:12, -76,        3, (not associated) ,
1A:77:19:E1:56:FB, 2018-05-24 20:41:15, 2018-05-24 20:41:15, -77,        2, (not associated) ,
9E:8D:0F:9C:66:8D, 2018-05-24 20:40:59, 2018-05-24 20:40:59, -68,        2, (not associated) ,
EA:2E:A0:4D:39:00, 2018-05-24 20:40:59, 2018-05-24 20:40:59, -71,        1, (not associated) ,
6E:7E:AE:97:FF:ED, 2018-05-24 20:41:02, 2018-05-24 20:41:02, -72,        1, (not associated) ,
B8:D7:AF:13:61:94, 2018-05-24 20:36:26, 2018-05-24 20:40:58, -85,       50, 00:27:0D:07:54:B2,
82:DA:A9:DF:D0:1E, 2018-05-24 20:40:51, 2018-05-24 20:40:51, -70,        2, (not associated) ,
12:93:6E:6A:0F:63, 2018-05-24 20:40:49, 2018-05-24 20:40:49, -76,        1, (not associated) ,
76:C5:94:24:81:95, 2018-05-24 20:40:47, 2018-05-24 20:40:47, -80,        1, (not associated) ,
70:EF:00:DC:F4:42, 2018-05-24 20:31:07, 2018-05-24 20:40:51, -80,        5, (not associated) ,
5C:97:F3:17:A6:A6, 2018-05-24 20:40:37, 2018-05-24 20:40:37,  -1,        6, 00:27:0D:5E:5C:F2,
20:EE:28:A2:35:30, 2018-05-24 20:40:36, 2018-05-24 20:40:36, -76,        5, 00:26:CB:AB:0A:32,PSU Secure
8C:F5:A3:6B:DB:87, 2018-05-24 20:40:34, 2018-05-24 20:40:34, -87,        4, (not associated) ,PSU
DA:A1:19:02:49:F2, 2018-05-24 20:40:24, 2018-05-24 20:40:24, -79,        4, (not associated) ,
